cz,state,county,czname
100,47,19,Johnson City
100,47,59,Johnson City
100,47,73,Johnson City
100,47,163,Johnson City
100,47,171,Johnson City
100,47,179,Johnson City
100,51,169,Johnson City
100,51,173,Johnson City
100,51,191,Johnson City
100,51,520,Johnson City
200,47,29,Morristown
200,47,57,Morristown
200,47,63,Morristown
200,47,89,Morristown
200,47,155,Morristown
301,21,13,Middlesborough
301,47,25,Middlesborough
301,47,67,Middlesborough
302,47,1,Knoxville
302,47,9,Knoxville
302,47,13,Knoxville
302,47,93,Knoxville
302,47,105,Knoxville
302,47,129,Knoxville
302,47,145,Knoxville
302,47,173,Knoxville
401,37,59,Winston-Salem
401,37,67,Winston-Salem
401,37,169,Winston-Salem
401,37,171,Winston-Salem
401,37,197,Winston-Salem
402,51,89,Martinsville
402,51,141,Martinsville
402,51,690,Martinsville
500,37,1,Greensboro
500,37,33,Greensboro
500,37,57,Greensboro
500,37,81,Greensboro
500,37,151,Greensboro
500,37,157,Greensboro
500,51,143,Greensboro
500,51,590,Greensboro
601,37,9,North Wilkesboro
601,37,193,North Wilkesboro
602,37,5,Galax
602,51,35,Galax
602,51,77,Galax
602,51,640,Galax
700,37,149,Spartanburg
700,45,21,Spartanburg
700,45,83,Spartanburg
700,45,87,Spartanburg
800,37,45,Gastonia
800,37,71,Gastonia
800,37,109,Gastonia
800,37,161,Gastonia
900,37,7,Charlotte
900,37,25,Charlotte
900,37,119,Charlotte
900,37,159,Charlotte
900,37,167,Charlotte
900,37,179,Charlotte
900,45,23,Charlotte
900,45,57,Charlotte
900,45,91,Charlotte
1001,37,11,Boone
1001,37,189,Boone
1001,47,91,Boone
1002,37,23,Morganton
1002,37,111,Morganton
1002,37,121,Morganton
1002,37,199,Morganton
1100,37,3,Hickory
1100,37,27,Hickory
1100,37,35,Hickory
1100,37,97,Hickory
1201,13,241,Franklin
1201,37,113,Franklin
1202,37,75,Sylva
1202,37,99,Sylva
1202,37,173,Sylva
1203,37,21,Asheville
1203,37,87,Asheville
1203,37,89,Asheville
1203,37,115,Asheville
1203,37,175,Asheville
1204,13,281,Andrews
1204,13,291,Andrews
1204,37,39,Andrews
1204,37,43,Andrews
1301,45,25,Bennettsville
1301,45,69,Bennettsville
1302,45,31,Florence
1302,45,33,Florence
1302,45,41,Florence
1302,45,43,Florence
1302,45,51,Florence
1302,45,67,Florence
1302,45,89,Florence
1400,37,51,Fayetteville
1400,37,93,Fayetteville
1400,37,123,Fayetteville
1400,37,125,Fayetteville
1400,37,153,Fayetteville
1400,37,155,Fayetteville
1400,37,165,Fayetteville
1500,37,17,Wilmington
1500,37,19,Wilmington
1500,37,47,Wilmington
1500,37,129,Wilmington
1500,37,141,Wilmington
1600,37,65,Wilson
1600,37,127,Wilson
1600,37,195,Wilson
1701,37,37,Raleigh
1701,37,63,Raleigh
1701,37,69,Raleigh
1701,37,77,Raleigh
1701,37,85,Raleigh
1701,37,101,Raleigh
1701,37,105,Raleigh
1701,37,135,Raleigh
1701,37,145,Raleigh
1701,37,183,Raleigh
1702,37,181,Henderson
1702,37,185,Henderson
1800,37,61,Goldsboro
1800,37,163,Goldsboro
1800,37,191,Goldsboro
1900,37,31,Jacksonville
1900,37,49,Jacksonville
1900,37,79,Jacksonville
1900,37,103,Jacksonville
1900,37,107,Jacksonville
1900,37,133,Jacksonville
1900,37,137,Jacksonville
1900,37,147,Jacksonville
2000,37,29,Virginia Beach
2000,37,41,Virginia Beach
2000,37,53,Virginia Beach
2000,37,73,Virginia Beach
2000,37,139,Virginia Beach
2000,37,143,Virginia Beach
2000,51,550,Virginia Beach
2000,51,710,Virginia Beach
2000,51,740,Virginia Beach
2000,51,800,Virginia Beach
2000,51,810,Virginia Beach
2100,37,13,Washington
2100,37,55,Washington
2100,37,95,Washington
2100,37,117,Washington
2100,37,177,Washington
2100,37,187,Washington
2200,51,25,South Boston
2200,51,37,South Boston
2200,51,49,South Boston
2200,51,83,South Boston
2200,51,111,South Boston
2200,51,117,South Boston
2200,51,135,South Boston
2200,51,147,South Boston
2300,51,9,Lynchburg
2300,51,11,Lynchburg
2300,51,19,Lynchburg
2300,51,31,Lynchburg
2300,51,680,Lynchburg
2400,51,7,Richmond
2400,51,36,Richmond
2400,51,41,Richmond
2400,51,53,Richmond
2400,51,75,Richmond
2400,51,85,Richmond
2400,51,87,Richmond
2400,51,97,Richmond
2400,51,101,Richmond
2400,51,127,Richmond
2400,51,145,Richmond
2400,51,149,Richmond
2400,51,183,Richmond
2400,51,570,Richmond
2400,51,670,Richmond
2400,51,730,Richmond
2400,51,760,Richmond
2500,51,73,Newport News
2500,51,93,Newport News
2500,51,95,Newport News
2500,51,115,Newport News
2500,51,119,Newport News
2500,51,175,Newport News
2500,51,181,Newport News
2500,51,199,Newport News
2500,51,620,Newport News
2500,51,650,Newport News
2500,51,700,Newport News
2500,51,735,Newport News
2500,51,830,Newport News
2600,37,15,Roanoke Rapids
2600,37,83,Roanoke Rapids
2600,37,91,Roanoke Rapids
2600,37,131,Roanoke Rapids
2600,51,81,Roanoke Rapids
2600,51,595,Roanoke Rapids
2700,28,39,Gulfport
2700,28,41,Gulfport
2700,28,45,Gulfport
2700,28,47,Gulfport
2700,28,59,Gulfport
2700,28,109,Gulfport
2700,28,131,Gulfport
2800,28,61,Laurel
2800,28,67,Laurel
2800,28,129,Laurel
2800,28,153,Laurel
2900,28,31,Hattiesburg
2900,28,35,Hattiesburg
2900,28,65,Hattiesburg
2900,28,73,Hattiesburg
2900,28,111,Hattiesburg
3001,28,7,Kosciusko
3001,28,51,Kosciusko
3002,28,53,Yazoo City
3002,28,163,Yazoo City
3003,28,29,Jackson
3003,28,49,Jackson
3003,28,79,Jackson
3003,28,89,Jackson
3003,28,121,Jackson
3003,28,123,Jackson
3003,28,127,Jackson
3101,28,5,McComb
3101,28,91,McComb
3101,28,113,McComb
3101,28,147,McComb
3101,28,157,McComb
3102,28,77,Brookhaven
3102,28,85,Brookhaven
3201,22,25,Jena
3201,22,59,Jena
3202,22,29,Natchez
3202,22,107,Natchez
3202,28,1,Natchez
3202,28,37,Natchez
3203,22,65,Vicksburg
3203,28,21,Vicksburg
3203,28,63,Vicksburg
3203,28,149,Vicksburg
3300,22,51,New Orleans
3300,22,71,New Orleans
3300,22,75,New Orleans
3300,22,87,New Orleans
3300,22,89,New Orleans
3300,22,93,New Orleans
3300,22,95,New Orleans
3300,22,103,New Orleans
3300,22,117,New Orleans
3400,22,7,Houma
3400,22,57,Houma
3400,22,101,Houma
3400,22,109,Houma
3500,22,5,Baton Rouge
3500,22,33,Baton Rouge
3500,22,37,Baton Rouge
3500,22,47,Baton Rouge
3500,22,63,Baton Rouge
3500,22,77,Baton Rouge
3500,22,91,Baton Rouge
3500,22,105,Baton Rouge
3500,22,121,Baton Rouge
3500,22,125,Baton Rouge
3600,22,9,Alexandria
3600,22,43,Alexandria
3600,22,79,Alexandria
3700,22,3,Lake Charles
3700,22,11,Lake Charles
3700,22,19,Lake Charles
3700,22,23,Lake Charles
3700,22,53,Lake Charles
3700,22,115,Lake Charles
3800,22,1,Lafayette
3800,22,39,Lafayette
3800,22,45,Lafayette
3800,22,55,Lafayette
3800,22,97,Lafayette
3800,22,99,Lafayette
3800,22,113,Lafayette
3901,22,21,Monroe
3901,22,41,Monroe
3901,22,67,Monroe
3901,22,73,Monroe
3901,22,83,Monroe
3901,22,111,Monroe
3902,22,35,Lake Providence
3902,22,123,Lake Providence
4001,5,27,Magnolia
4001,5,73,Magnolia
4002,22,13,Shreveport
4002,22,15,Shreveport
4002,22,17,Shreveport
4002,22,27,Shreveport
4002,22,31,Shreveport
4002,22,69,Shreveport
4002,22,81,Shreveport
4002,22,119,Shreveport
4003,22,49,Ruston
4003,22,61,Ruston
4003,22,127,Ruston
4004,22,85,Many
4101,5,3,Crossett
4102,5,11,Pine Bluff
4102,5,17,Pine Bluff
4102,5,25,Pine Bluff
4102,5,41,Pine Bluff
4102,5,43,Pine Bluff
4102,5,69,Pine Bluff
4102,5,79,Pine Bluff
4103,5,13,El Dorado
4103,5,39,El Dorado
4103,5,103,El Dorado
4103,5,139,El Dorado
4200,5,29,Little Rock
4200,5,45,Little Rock
4200,5,53,Little Rock
4200,5,85,Little Rock
4200,5,105,Little Rock
4200,5,119,Little Rock
4200,5,125,Little Rock
4301,5,1,Stuttgart
4301,5,95,Stuttgart
4301,5,117,Stuttgart
4302,5,67,Searcy
4302,5,145,Searcy
4302,5,147,Searcy
4401,21,51,London
4401,21,121,London
4401,21,125,London
4401,21,235,London
4402,21,65,Richmond
4402,21,109,Richmond
4402,21,151,Richmond
4402,21,203,Richmond
4501,21,25,West Liberty
4501,21,129,West Liberty
4501,21,175,West Liberty
4501,21,189,West Liberty
4501,21,237,West Liberty
4502,21,95,Hazard
4502,21,119,Hazard
4502,21,131,Hazard
4502,21,133,Hazard
4502,21,193,Hazard
4601,21,1,Campbellsville
4601,21,45,Campbellsville
4601,21,87,Campbellsville
4601,21,207,Campbellsville
4601,21,217,Campbellsville
4602,21,53,Somerset
4602,21,147,Somerset
4602,21,199,Somerset
4602,21,231,Somerset
4602,47,151,Somerset
4701,28,15,Greenwood
4701,28,43,Greenwood
4701,28,83,Greenwood
4701,28,97,Greenwood
4702,28,27,Clarksdale
4702,28,71,Clarksdale
4702,28,107,Clarksdale
4702,28,119,Clarksdale
4702,28,135,Clarksdale
4702,28,161,Clarksdale
4800,28,11,Greenville
4800,28,55,Greenville
4800,28,125,Greenville
4800,28,133,Greenville
4800,28,151,Greenville
4901,47,23,Jackson
4901,47,33,Jackson
4901,47,53,Jackson
4901,47,69,Jackson
4901,47,113,Jackson
4902,47,45,Dyersburg
4902,47,75,Dyersburg
4902,47,95,Dyersburg
4902,47,97,Dyersburg
4903,47,39,Lexington
4903,47,77,Lexington
4903,47,135,Lexington
5000,28,13,Tupelo
5000,28,17,Tupelo
5000,28,57,Tupelo
5000,28,81,Tupelo
5000,28,95,Tupelo
5000,28,115,Tupelo
5100,28,3,Corinth
5100,28,117,Corinth
5100,28,141,Corinth
5100,47,71,Corinth
5100,47,109,Corinth
5201,28,9,New Albany
5201,28,139,New Albany
5201,28,145,New Albany
5202,28,33,Memphis
5202,28,93,Memphis
5202,28,137,Memphis
5202,28,143,Memphis
5202,47,47,Memphis
5202,47,157,Memphis
5202,47,167,Memphis
5300,5,35,West Memphis
5300,5,37,West Memphis
5300,5,77,West Memphis
5300,5,107,West Memphis
5300,5,123,West Memphis
5401,21,3,Bowling Green
5401,21,61,Bowling Green
5401,21,141,Bowling Green
5401,21,213,Bowling Green
5401,21,227,Bowling Green
5402,21,9,Glasgow
5402,21,57,Glasgow
5402,21,99,Glasgow
5402,21,169,Glasgow
5402,21,171,Glasgow
5402,47,27,Glasgow
5500,47,55,Columbia
5500,47,81,Columbia
5500,47,101,Columbia
5500,47,117,Columbia
5500,47,119,Columbia
5600,47,15,Nashville
5600,47,21,Nashville
5600,47,37,Nashville
5600,47,111,Nashville
5600,47,147,Nashville
5600,47,149,Nashville
5600,47,159,Nashville
5600,47,165,Nashville
5600,47,169,Nashville
5600,47,187,Nashville
5600,47,189,Nashville
5700,47,3,Tullahoma
5700,47,31,Tullahoma
5700,47,51,Tullahoma
5700,47,127,Tullahoma
5800,47,5,Dickson
5800,47,17,Dickson
5800,47,43,Dickson
5800,47,79,Dickson
5800,47,85,Dickson
5900,21,47,Clarksville
5900,21,219,Clarksville
5900,21,221,Clarksville
5900,47,83,Clarksville
5900,47,125,Clarksville
5900,47,161,Clarksville
6000,1,79,Huntsville
6000,1,83,Huntsville
6000,1,89,Huntsville
6000,1,103,Huntsville
6000,47,103,Huntsville
6100,1,49,Gadsden
6100,1,55,Gadsden
6100,1,71,Gadsden
6100,1,95,Gadsden
6200,1,33,Florence
6200,1,59,Florence
6200,1,77,Florence
6200,47,99,Florence
6200,47,181,Florence
6301,47,41,McMinnville
6301,47,175,McMinnville
6301,47,177,McMinnville
6301,47,185,McMinnville
6302,47,87,Cookeville
6302,47,133,Cookeville
6302,47,137,Cookeville
6302,47,141,Cookeville
6401,13,47,Chattanooga
6401,13,83,Chattanooga
6401,13,295,Chattanooga
6401,47,61,Chattanooga
6401,47,65,Chattanooga
6401,47,115,Chattanooga
6401,47,153,Chattanooga
6402,47,7,Crossville
6402,47,35,Crossville
6402,47,49,Crossville
6402,47,143,Crossville
6501,13,111,Ellijay
6501,13,123,Ellijay
6502,47,11,Cleveland
6502,47,107,Cleveland
6502,47,121,Cleveland
6502,47,123,Cleveland
6502,47,139,Cleveland
6600,1,19,Rome
6600,13,15,Rome
6600,13,55,Rome
6600,13,115,Rome
6600,13,129,Rome
6600,13,213,Rome
6600,13,233,Rome
6600,13,313,Rome
6700,12,53,Tampa
6700,12,57,Tampa
6700,12,101,Tampa
6700,12,103,Tampa
6800,12,49,Lakeland
6800,12,55,Lakeland
6800,12,105,Lakeland
6900,12,15,Sarasota
6900,12,27,Sarasota
6900,12,81,Sarasota
6900,12,115,Sarasota
7000,12,11,Miami
7000,12,86,Miami
7000,12,87,Miami
7100,12,43,Port St. Lucie
7100,12,51,Port St. Lucie
7100,12,85,Port St. Lucie
7100,12,93,Port St. Lucie
7100,12,99,Port St. Lucie
7100,12,111,Port St. Lucie
7200,12,21,Cape Coral
7200,12,71,Cape Coral
7300,12,9,Palm Bay
7300,12,61,Palm Bay
7400,12,69,Orlando
7400,12,95,Orlando
7400,12,97,Orlando
7400,12,117,Orlando
7400,12,119,Orlando
7500,12,35,Deltona
7500,12,107,Deltona
7500,12,127,Deltona
7600,12,3,Jacksonville
7600,12,19,Jacksonville
7600,12,31,Jacksonville
7600,12,89,Jacksonville
7600,12,109,Jacksonville
7600,13,39,Jacksonville
7600,13,49,Jacksonville
7700,12,23,Lake City
7700,12,47,Lake City
7700,12,67,Lake City
7700,12,79,Lake City
7700,12,121,Lake City
7700,12,123,Lake City
7800,12,17,Ocala
7800,12,83,Ocala
7900,12,1,Gainesville
7900,12,7,Gainesville
7900,12,29,Gainesville
7900,12,41,Gainesville
7900,12,75,Gainesville
7900,12,125,Gainesville
8000,45,27,Sumter
8000,45,55,Sumter
8000,45,61,Sumter
8000,45,85,Sumter
8100,45,17,Columbia
8100,45,39,Columbia
8100,45,63,Columbia
8100,45,71,Columbia
8100,45,75,Columbia
8100,45,79,Columbia
8100,45,81,Columbia
8201,45,5,Barnwell
8201,45,9,Barnwell
8201,45,11,Barnwell
8201,45,49,Barnwell
8202,45,15,Charleston
8202,45,19,Charleston
8202,45,29,Charleston
8202,45,35,Charleston
8300,45,1,Greenville
8300,45,7,Greenville
8300,45,45,Greenville
8300,45,47,Greenville
8300,45,59,Greenville
8300,45,65,Greenville
8300,45,73,Greenville
8300,45,77,Greenville
8401,13,33,Aiken
8401,13,73,Aiken
8401,13,125,Aiken
8401,13,163,Aiken
8401,13,189,Aiken
8401,13,245,Aiken
8401,13,301,Aiken
8401,45,3,Aiken
8401,45,37,Aiken
8402,13,133,Washington
8402,13,181,Washington
8402,13,265,Washington
8402,13,317,Washington
8501,13,17,Fitzgerald
8501,13,155,Fitzgerald
8502,13,81,Cordele
8502,13,93,Cordele
8502,13,315,Cordele
8503,13,19,Valdosta
8503,13,27,Valdosta
8503,13,71,Valdosta
8503,13,75,Valdosta
8503,13,101,Valdosta
8503,13,173,Valdosta
8503,13,185,Valdosta
8503,13,277,Valdosta
8503,13,287,Valdosta
8601,13,3,Waycross
8601,13,5,Waycross
8601,13,65,Waycross
8601,13,69,Waycross
8601,13,229,Waycross
8601,13,299,Waycross
8602,13,25,Brunswick
8602,13,127,Brunswick
8602,13,191,Brunswick
8701,13,109,Hinesville
8701,13,179,Hinesville
8701,13,183,Hinesville
8701,13,267,Hinesville
8701,13,305,Hinesville
8702,13,31,Statesboro
8702,13,43,Statesboro
8702,13,107,Statesboro
8702,13,165,Statesboro
8702,13,251,Statesboro
8800,13,29,Savannah
8800,13,51,Savannah
8800,13,103,Savannah
8800,45,13,Savannah
8800,45,53,Savannah
8900,13,21,Macon
8900,13,23,Macon
8900,13,79,Macon
8900,13,153,Macon
8900,13,169,Macon
8900,13,207,Macon
8900,13,225,Macon
8900,13,235,Macon
8900,13,269,Macon
8900,13,289,Macon
9001,13,1,Vidalia
9001,13,91,Vidalia
9001,13,161,Vidalia
9001,13,209,Vidalia
9001,13,271,Vidalia
9001,13,279,Vidalia
9001,13,283,Vidalia
9001,13,309,Vidalia
9002,13,9,Milledgeville
9002,13,141,Milledgeville
9002,13,237,Milledgeville
9002,13,319,Milledgeville
9003,13,167,Dublin
9003,13,175,Dublin
9003,13,303,Dublin
9100,13,57,Atlanta
9100,13,63,Atlanta
9100,13,67,Atlanta
9100,13,85,Atlanta
9100,13,89,Atlanta
9100,13,97,Atlanta
9100,13,113,Atlanta
9100,13,117,Atlanta
9100,13,121,Atlanta
9100,13,135,Atlanta
9100,13,151,Atlanta
9100,13,159,Atlanta
9100,13,211,Atlanta
9100,13,217,Atlanta
9100,13,223,Atlanta
9100,13,227,Atlanta
9100,13,247,Atlanta
9100,13,297,Atlanta
9200,13,35,Griffin
9200,13,171,Griffin
9200,13,231,Griffin
9200,13,255,Griffin
9200,13,293,Griffin
9301,13,13,Winder
9301,13,59,Winder
9301,13,195,Winder
9301,13,219,Winder
9301,13,221,Winder
9302,13,105,Toccoa
9302,13,119,Toccoa
9302,13,147,Toccoa
9302,13,257,Toccoa
9400,13,11,Gainesville
9400,13,137,Gainesville
9400,13,139,Gainesville
9400,13,157,Gainesville
9400,13,187,Gainesville
9400,13,311,Gainesville
9500,1,27,Talladega
9500,1,37,Talladega
9500,1,121,Talladega
9500,1,123,Talladega
9600,1,15,LaGrange
9600,1,17,LaGrange
9600,1,29,LaGrange
9600,1,111,LaGrange
9600,13,45,LaGrange
9600,13,77,LaGrange
9600,13,143,LaGrange
9600,13,149,LaGrange
9600,13,285,LaGrange
9701,1,113,Columbus
9701,13,53,Columbus
9701,13,145,Columbus
9701,13,199,Columbus
9701,13,215,Columbus
9701,13,263,Columbus
9702,13,193,Americus
9702,13,197,Americus
9702,13,249,Americus
9702,13,259,Americus
9702,13,261,Americus
9702,13,307,Americus
9800,1,11,Auburn
9800,1,81,Auburn
9800,1,87,Auburn
9900,12,13,Tallahassee
9900,12,39,Tallahassee
9900,12,59,Tallahassee
