tract,county,state,hhinc_mean2000
20100,1,1,68638.727
20200,1,1,57242.512
20300,1,1,75647.727
20400,1,1,74852.055
20500,1,1,96174.766
20600,1,1,68095.766
20700,1,1,65182.262
20801,1,1,76873.5
20802,1,1,77310.141
20900,1,1,66234.398
21000,1,1,58866.27
21100,1,1,52435.227
10100,3,1,58305.566
10200,3,1,56809.992
10300,3,1,70954.164
10400,3,1,62611.449
10500,3,1,66606.953
10600,3,1,47317.961
10701,3,1,112030.16
10703,3,1,96740.359
10704,3,1,105330.83
10705,3,1,77468.789
10800,3,1,103177.49
10903,3,1,66684.367
10904,3,1,66684.367
10905,3,1,65934.156
10906,3,1,65934.156
11000,3,1,63133.371
11101,3,1,72588.336
11102,3,1,72588.328
11201,3,1,88984.438
11202,3,1,72097.367
11300,3,1,100212.99
11401,3,1,66686.719
11403,3,1,74207.57
11405,3,1,82282.836
11406,3,1,82282.836
11407,3,1,82282.836
11408,3,1,82282.836
11501,3,1,64339.676
11502,3,1,64339.676
11601,3,1,65471.551
11602,3,1,65471.551
950100,5,1,63442.406
950200,5,1,42181.219
950300,5,1,44967.266
950400,5,1,44027.766
950500,5,1,54147.461
950600,5,1,46268.301
950700,5,1,67149.625
950800,5,1,68362.656
950900,5,1,46280.098
10001,7,1,59555.375
10002,7,1,59555.375
10003,7,1,59808.57
10004,7,1,47739.918
50101,9,1,57395
50102,9,1,61387.316
50200,9,1,65100.359
50300,9,1,59631.215
50400,9,1,54899.707
50500,9,1,55228.539
50601,9,1,71431.844
50602,9,1,71430.219
50700,9,1,67074.93
952100,11,1,44056.168
952200,11,1,38855.398
952500,11,1,47941.914
952700,13,1,63733.402
952800,13,1,74671.336
952900,13,1,59079.301
953000,13,1,50749.18
953100,13,1,43092.273
953200,13,1,50114.656
953300,13,1,59486.738
953400,13,1,45360.32
953500,13,1,49508.504
200,15,1,55376.043
300,15,1,36387.898
400,15,1,46343.289
500,15,1,29799.463
600,15,1,31217.004
700,15,1,49331.02
800,15,1,47583.59
900,15,1,92568.836
1000,15,1,90913.531
1100,15,1,70730.32
1201,15,1,57875.145
1202,15,1,57879.332
1300,15,1,45128.848
1400,15,1,50948.012
1500,15,1,61452.266
1600,15,1,60547.934
1700,15,1,74286.625
1800,15,1,62329.656
2000,15,1,60126.355
2101,15,1,27417.969
2102,15,1,84381.852
2103,15,1,50000.043
2200,15,1,53832.066
2300,15,1,48672.785
2400,15,1,64898.27
2501,15,1,68548.258
2502,15,1,58750.656
2600,15,1,61158.859
981901,15,1,61452.266
953800,17,1,52229.723
953900,17,1,59741.266
954000,17,1,49844.293
954200,17,1,60139.004
954300,17,1,62383.461
954400,17,1,40630.418
954500,17,1,51860.609
954600,17,1,53090.293
954700,17,1,52099.059
955701,19,1,50898.383
955702,19,1,50898.383
955800,19,1,57177.977
955900,19,1,54658.492
956000,19,1,53461.852
956100,19,1,59049.645
60101,21,1,53670.133
60102,21,1,56092.66
60200,21,1,63774.492
60300,21,1,62306.656
60401,21,1,61665.102
60402,21,1,62519.18
60500,21,1,57028.125
60600,21,1,55086.996
60700,21,1,50477.43
956700,23,1,44655.898
956800,23,1,57019.789
956900,23,1,60555.438
957000,23,1,45374.961
957500,25,1,51735.535
957601,25,1,54526.801
957602,25,1,54482.359
957700,25,1,43049.609
957800,25,1,49949.004
957901,25,1,64541.641
957902,25,1,66232.5
958001,25,1,50722.961
958002,25,1,50722.961
958900,27,1,50223.871
959000,27,1,44439.715
959100,27,1,49583.477
959200,27,1,55819.156
959500,29,1,55711.219
959600,29,1,52993.34
959700,29,1,56911.855
959800,29,1,52073.727
10100,31,1,46777.008
10200,31,1,51319.738
10300,31,1,64146.754
10400,31,1,55114.055
10500,31,1,55720.762
10600,31,1,58642
10700,31,1,63170.527
10800,31,1,71036.32
10900,31,1,47910.422
11000,31,1,48182.816
11100,31,1,74759.109
11201,31,1,106223.09
11202,31,1,70739.172
11300,31,1,44085.039
20100,33,1,51600.844
20200,33,1,53179.598
20300,33,1,32384.9
20400,33,1,79491.063
20500,33,1,60598.684
20600,33,1,56099.707
20701,33,1,66739.125
20703,33,1,70494.055
20704,33,1,70494.055
20801,33,1,69207.672
20802,33,1,48190.539
20901,33,1,58651.465
20902,33,1,58651.465
21000,33,1,61445.465
960200,35,1,46137.746
960300,35,1,51388.344
960400,35,1,40661.242
960500,35,1,44062.496
960600,35,1,51209.293
961000,37,1,47229.391
961100,37,1,57180.082
961200,37,1,60324.672
961600,39,1,55141.355
961700,39,1,47649.367
961800,39,1,56539.84
961900,39,1,62027.516
962000,39,1,59423.422
962100,39,1,54349.051
962300,39,1,55464.496
962400,39,1,64338.02
962500,39,1,51217.922
962600,39,1,40590.383
962700,39,1,47917.957
962800,39,1,49742.215
962900,39,1,48539.578
963000,39,1,39036.488
963400,41,1,51056.887
963500,41,1,50974.438
963600,41,1,47230.57
963700,41,1,54699.117
963800,41,1,43413.418
963900,41,1,50298.422
964100,43,1,59503.594
964200,43,1,59542.633
964300,43,1,65258.336
964400,43,1,61900.223
964500,43,1,51540.691
964600,43,1,62276.199
964700,43,1,55494.145
964800,43,1,52601.691
964900,43,1,77178.258
965000,43,1,51476.871
965100,43,1,61321.934
965200,43,1,62388.059
965300,43,1,62232.535
965401,43,1,53366.434
965402,43,1,53363.91
965500,43,1,64350.91
965600,43,1,75978.148
965700,43,1,60500.84
20000,45,1,57802.699
20100,45,1,51701.461
20200,45,1,53280.152
20300,45,1,65501.594
20400,45,1,81250.344
20500,45,1,53583.996
20700,45,1,38786.473
20801,45,1,55242.98
20802,45,1,55241.633
21101,45,1,63561.398
21102,45,1,54910.465
21200,45,1,59928.781
21300,45,1,61788.84
21400,45,1,54560.586
956100,47,1,61837.746
956201,47,1,62673.77
956202,47,1,62673.77
956300,47,1,63562.609
956400,47,1,29863.604
956500,47,1,29121.273
956600,47,1,46618.191
956701,47,1,73882.234
956702,47,1,73882.234
956800,47,1,53980.262
956900,47,1,40193.988
957000,47,1,43609.797
957100,47,1,48115.465
957200,47,1,30349.783
957300,47,1,40310.992
960100,49,1,53999.277
960200,49,1,57300.359
960300,49,1,53105.008
960400,49,1,56090.148
960500,49,1,55381.824
960600,49,1,49636.727
960700,49,1,54135.496
960800,49,1,48213.164
960900,49,1,52635.348
961000,49,1,56124.797
961100,49,1,68994.047
961200,49,1,116028.13
961300,49,1,54993.793
961400,49,1,56408.949
30100,51,1,71912.031
30200,51,1,67140.383
30300,51,1,95570.227
30400,51,1,60387.074
30500,51,1,64937.395
30600,51,1,59691.938
30701,51,1,104890.94
30702,51,1,104890.94
30800,51,1,63152.414
30901,51,1,81580.664
30902,51,1,81580.664
31000,51,1,66740.055
31100,51,1,73510.406
31200,51,1,62163.586
31300,51,1,70362.18
969800,53,1,48827.766
969900,53,1,59293.68
970100,53,1,75643.094
970200,53,1,50396.105
970300,53,1,53487.859
970400,53,1,53909.684
970500,53,1,53704.137
970600,53,1,38305.215
970700,53,1,57276.191
200,55,1,44113.605
300,55,1,34991.773
400,55,1,74485.406
500,55,1,43388.008
600,55,1,49503.238
700,55,1,30818.521
800,55,1,34513.02
900,55,1,39746.148
1000,55,1,35939.98
1100,55,1,115407.98
1200,55,1,55182.879
1300,55,1,41799.359
1600,55,1,59571.07
1700,55,1,40727.586
10100,55,1,53697.871
