par_pctile,kid_race,gender,n_kir,kir
1,White,F,34000,32.93
1,White,M,36000,38.959999
1,Black,F,29500,33.860001
1,Black,M,29000,29.440001
1,Asian,F,4300,50.080002
1,Asian,M,4800,52.710003
1,Hispanic,F,17500,36.619999
1,Hispanic,M,17500,41.470001
1,AIAN,F,1600,27.039999
1,AIAN,M,1700,28.709999
2,White,F,33500,34.02
2,White,M,35500,40.68
2,Black,F,28000,34.700001
2,Black,M,27500,30.689999
2,Asian,F,4300,51.98
2,Asian,M,4600,52.810001
2,Hispanic,F,20000,37.57
2,Hispanic,M,20000,42.709999
2,AIAN,F,1500,28.259998
2,AIAN,M,1500,30.84
3,White,F,35000,34.290001
3,White,M,37000,41.380001
3,Black,F,27500,35.57
3,Black,M,26500,31.670002
3,Asian,F,4300,50.790001
3,Asian,M,4600,53.130001
3,Hispanic,F,20000,38.100002
3,Hispanic,M,20500,43.599998
3,AIAN,F,1400,29.179998
3,AIAN,M,1500,31.110001
4,White,F,35500,35.010002
4,White,M,38000,42.220001
4,Black,F,27000,36.099998
4,Black,M,26000,32.370003
4,Asian,F,4200,52.359997
4,Asian,M,4700,52.759998
4,Hispanic,F,21000,38.170002
4,Hispanic,M,21000,44.16
4,AIAN,F,1400,29.469999
4,AIAN,M,1400,31.98
5,White,F,36500,35.34
5,White,M,38500,42.389999
5,Black,F,26500,36.66
5,Black,M,25500,33.029999
5,Asian,F,4300,52.34
5,Asian,M,4600,54.070004
5,Hispanic,F,21000,38.66
5,Hispanic,M,21500,44.490002
5,AIAN,F,1500,29.559999
5,AIAN,M,1400,32.420002
6,White,F,36500,35.52
6,White,M,38500,43
6,Black,F,26500,36.549999
6,Black,M,25000,33.539997
6,Asian,F,4300,52.179996
6,Asian,M,4600,53.390003
6,Hispanic,F,22000,38.940002
6,Hispanic,M,21500,45.07
6,AIAN,F,1400,30.619999
6,AIAN,M,1500,32.380001
7,White,F,37500,35.900002
7,White,M,39000,43.610001
7,Black,F,26000,37
7,Black,M,24500,33.84
7,Asian,F,4200,52.789997
7,Asian,M,4600,54.329998
7,Hispanic,F,22000,39.02
7,Hispanic,M,22500,45.120003
7,AIAN,F,1300,31.360001
7,AIAN,M,1400,33.509998
8,White,F,37500,36.07
8,White,M,39000,43.75
8,Black,F,26500,37.32
8,Black,M,24500,34.43
8,Asian,F,4200,52.749996
8,Asian,M,4400,54.240002
8,Hispanic,F,22000,39.150002
8,Hispanic,M,22500,45.669998
8,AIAN,F,1300,30.919998
8,AIAN,M,1400,34.43
9,White,F,38500,36.16
9,White,M,39500,44.32
9,Black,F,26000,37.700001
9,Black,M,24500,34.66
9,Asian,F,4000,52.41
9,Asian,M,4300,54.27
9,Hispanic,F,22500,39.379997
9,Hispanic,M,22500,46.349998
9,AIAN,F,1300,31.760002
9,AIAN,M,1400,33.829998
10,White,F,38500,36.73
10,White,M,40000,44.66
10,Black,F,26500,37.990002
10,Black,M,24500,35.240002
10,Asian,F,3900,52.77
10,Asian,M,4200,53.789997
10,Hispanic,F,22500,39.700001
10,Hispanic,M,22500,46.380001
10,AIAN,F,1300,32.240002
10,AIAN,M,1300,34.560001
11,White,F,38500,37.099998
11,White,M,40500,44.760002
11,Black,F,26500,38.260002
11,Black,M,24500,35.48
11,Asian,F,3800,52.420002
11,Asian,M,4100,55.599998
11,Hispanic,F,22000,40
11,Hispanic,M,22500,46.82
11,AIAN,F,1300,31.92
11,AIAN,M,1300,33.75
12,White,F,39500,37.110001
12,White,M,40500,45.100002
12,Black,F,26500,38.27
12,Black,M,24500,35.93
12,Asian,F,3700,52.689999
12,Asian,M,4000,54.360001
12,Hispanic,F,22500,40.279999
12,Hispanic,M,22500,46.779999
12,AIAN,F,1200,32.18
12,AIAN,M,1300,36.389999
13,White,F,40000,37.490002
13,White,M,40500,45.489998
13,Black,F,26500,38.77
13,Black,M,25000,36.389999
13,Asian,F,3600,52.619999
13,Asian,M,3900,56.080002
13,Hispanic,F,22500,40.389999
13,Hispanic,M,22500,46.950001
13,AIAN,F,1300,32.200001
13,AIAN,M,1300,35.57
14,White,F,40000,37.73
14,White,M,41500,46.049999
14,Black,F,27000,38.870003
14,Black,M,24500,36.259998
14,Asian,F,3600,53.649998
14,Asian,M,3800,55.75
14,Hispanic,F,22000,40.610001
14,Hispanic,M,22500,47.299999
14,AIAN,F,1200,32.740002
14,AIAN,M,1200,36.189999
15,White,F,41000,37.900002
15,White,M,41500,46.209999
15,Black,F,26500,39.259998
15,Black,M,24500,36.559998
15,Asian,F,3600,54.060001
15,Asian,M,3800,55.889999
15,Hispanic,F,22000,40.73
15,Hispanic,M,22500,47.73
15,AIAN,F,1200,31.92
15,AIAN,M,1200,36.219997
16,White,F,41000,38.150002
16,White,M,42500,46.82
16,Black,F,26500,39.379997
16,Black,M,24500,36.739998
16,Asian,F,3700,53.899998
16,Asian,M,3900,55.860001
16,Hispanic,F,22000,41.02
16,Hispanic,M,22500,47.870003
16,AIAN,F,1200,33.139999
16,AIAN,M,1200,37.34
17,White,F,42000,38.290001
17,White,M,42500,46.84
17,Black,F,26500,39.549999
17,Black,M,24500,37.34
17,Asian,F,3400,53.820004
17,Asian,M,3700,56.139999
17,Hispanic,F,22000,40.920002
17,Hispanic,M,22000,48.5
17,AIAN,F,1200,31.950001
17,AIAN,M,1200,36.829998
18,White,F,42500,38.510002
18,White,M,44000,47.060001
18,Black,F,26000,39.82
18,Black,M,24500,37.400002
18,Asian,F,3500,54.669998
18,Asian,M,3600,57.050003
